epoch,step,train_loss
0,49,492599.25
1,99,309583.6875
2,149,360618.40625
3,199,310184.8125
4,249,406611.40625
5,299,385285.59375
6,349,322578.65625
7,399,340379.46875
8,449,314417.1875
9,499,203598.125
10,549,148457.875
11,599,218175.40625
12,649,210685.40625
13,699,148508.265625
14,749,60383.1015625
15,799,79956.65625
16,849,147175.125
17,899,212594.515625
18,949,112655.1171875
19,999,105025.3359375
20,1049,118429.3359375
21,1099,120208.890625
22,1149,147056.1875
23,1199,91974.2578125
24,1249,195032.3125
25,1299,154845.375
26,1349,133611.28125
27,1399,119987.3828125
28,1449,115180.2734375
29,1499,114611.125
30,1549,63592.83984375
31,1599,147248.21875
32,1649,71720.96875
33,1699,128053.8359375
34,1749,132595.984375
35,1799,110333.09375
36,1849,55704.93359375
37,1899,87040.1640625
38,1949,119435.21875
39,1999,107559.1796875
40,2049,58836.0
41,2099,86767.53125
42,2149,85406.171875
43,2199,95642.3984375
44,2249,63252.1484375
45,2299,119438.6640625
46,2349,89616.8828125
47,2399,82841.90625
48,2449,98815.40625
49,2499,92112.96875
50,2549,90922.7265625
51,2599,134504.875
52,2649,159164.640625
53,2699,67948.78125
54,2749,85305.296875
55,2799,63264.96875
56,2849,152532.53125
57,2899,99340.5625
58,2949,86284.28125
59,2999,85797.21875
60,3049,64535.64453125
61,3099,60902.21875
62,3149,110522.7734375
63,3199,91955.109375
64,3249,69225.9375
65,3299,61686.57421875
66,3349,75311.25
67,3399,91786.21875
68,3449,55373.48828125
69,3499,99795.71875
70,3549,70783.7734375
71,3599,56922.671875
72,3649,107215.0546875
73,3699,87001.171875
74,3749,70451.5703125
75,3799,127778.421875
76,3849,49751.4375
77,3899,110311.7421875
78,3949,67509.34375
79,3999,84803.8515625
80,4049,42622.61328125
81,4099,57624.3046875
82,4149,124119.5625
83,4199,103799.0390625
84,4249,58420.625
85,4299,75502.2890625
86,4349,83655.8125
87,4399,69001.125
88,4449,45954.140625
89,4499,79301.390625
90,4549,62447.61328125
91,4599,52577.4296875
92,4649,69869.40625
93,4699,61349.57421875
94,4749,114138.3203125
95,4799,66169.9296875
96,4849,91230.1015625
97,4899,132905.34375
98,4949,68307.3515625
99,4999,54619.09765625
